sample_id,sample_bucket,content_id,source_id,source_title,content_type,user_id,user_name,content_text,created_at,like_count,received_reply_count,topic_label,stance_target,stance_label,emotion_label,discourse_labels,risk_labels,intensity,confidence,need_review,annotation_reason,split
S1234,random,bilibili_comment:275959718544,bilibili_video:115196995570707,罗永浩炮轰西贝预制菜？到底谁输谁赢？,comment,bilibili:73906946,羊蝎子v1,初期的西贝还是很好吃的，后来味道的确差了点,2025-09-13T20:59:19+08:00,0,0,prepared_food_authenticity,xibei,question,disappointed,personal_experience;simple_attitude,low_risk_discussion,2,0.9,false,表达对西贝品质下降的失望,train
S0087,top_liked,bilibili_comment:287776586385,bilibili_video:115966767996636,封号斗罗贾国龙：我是如何把时代红利吐出来的？【网络狠人76】,comment,bilibili:5866474,墨汐今天吃什么,挺令人感慨的，我吃过西贝 味道其实ok，品控也稳定，我是明知预制菜的情况下去吃的，不如说吃西贝的人真的有人会不知道他们是预制菜吗？本来这事儿就这么过了，结果贾国龙非要抬杠，完事一堆操作给整成这样，我都无语了,2026-01-28T07:03:16+08:00,1025,91,brand_pr_crisis,xibei,question,disappointed,personal_experience;rational_argument,low_risk_discussion,2,0.9,false,结合个人体验批评贾国龙抬杠导致公关危机,train
S1141,random,bilibili_comment:276018465264,bilibili_video:115195200477658,西贝连夜召开1.8万人罗永浩作战大会，罗永浩：西贝真正的敌人不是我,reply,bilibili:1156636311,爱喝漱漱药的鼠鼠,回复 @嫁他只因你爱人妻 :整乐了,2025-09-14T12:20:06+08:00,0,0,meme_offtopic,unclear,neutral,sarcastic,sarcasm;meme,low_risk_discussion,1,0.8,false,调侃被逗乐，属玩梗,train
S0991,random,bilibili_comment:274701212993,bilibili_video:115193388468394,罗永浩PK西贝，全程40分钟脱口秀【40分纯享版】,comment,bilibili:343220485,寻水de鱼2,结尾真是笑死了。,2025-09-15T08:09:20+08:00,0,0,meme_offtopic,unclear,neutral,positive,meme,low_risk_discussion,1,0.9,false,玩梗说结尾好笑，无实质内容,train
S0967,random,bilibili_comment:276136879392,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,reply,bilibili:23340529,落叶银庭,回复 @手刃主公 :他的意思是西贝价格贵还不用好油，他觉得这么贵的价格太坑人了（我也觉得坑）,2025-09-15T16:12:26+08:00,1,0,price_value,xibei,question,negative,rational_argument;echoing;simple_attitude,low_risk_discussion,2,0.9,false,用户附和对方观点，认为西贝价格贵且用油差,train
S1108,random,bilibili_comment:276227133376,bilibili_video:115208504741593,西贝和罗永浩打官司的话谁赢面大？有握手言和的可能吗？,comment,bilibili:325033333,当当当1231,也许我过时了。开始听的还以为西贝是个人，，。，,2025-09-16T16:05:39+08:00,1,0,meme_offtopic,unclear,neutral,neutral,meme,low_risk_discussion,1,0.9,false,误以为西贝是人名，纯玩梗跑题。,train
S0895,random,bilibili_comment:274887665537,bilibili_video:115213655414090,罗永浩再停战，西贝自杀式公关，预制菜到底怎么算？,reply,bilibili:400954360,蓝晨幻,预制菜的品牌很多，说西贝是老板自己公开说百分百不是预制菜。,2025-09-17T08:34:57+08:00,22,0,prepared_food_authenticity,xibei,neutral,neutral,information_claim,low_risk_discussion,2,0.9,false,陈述西贝老板曾公开否认预制菜。,train
S0834,source_stratified,bilibili_comment:274807330081,bilibili_video:115211222653264,罗永浩是怎么把西贝搞翻车的？,comment,bilibili:410848159,Airbardier,@西贝莜面村 [doge],2025-09-16T13:16:04+08:00,0,0,meme_offtopic,xibei,neutral,sarcastic,meme;echoing,low_risk_discussion,1,0.9,false,直接@西贝加狗头，玩梗调侃,train
S0942,random,bilibili_comment:274571765777,bilibili_video:115193388468394,罗永浩PK西贝，全程40分钟脱口秀【40分纯享版】,reply,bilibili:350304895,爱看波妞,回复 @一只要做大事的柚子 :西贝严格来说是属于虚假宣传，但是国内预制菜标准没出来你拿他也没办法，拿着预制菜的成本卖现做菜利润是很高的，都是冻品压根没有材料损耗。,2025-09-13T22:04:09+08:00,13,1,consumer_right_to_know,xibei,question,neutral,rational_argument;information_claim,low_risk_discussion,3,0.9,false,用户理性分析西贝虚假宣传和预制菜成本问题。,train
S0475,top_replied,bilibili_comment:275901957504,bilibili_video:115192264397445,罗永浩谈西贝1个馒头卖21元,reply,bilibili:3493081267571620,bili_25324223933,回复 @-LxxK- :这个价格应该是一份吧，一般正常上主食会有6到8个一盘，老罗这个打的有点偷换概念了，说实话对预制菜要有一个全国标准是好事，双方有争议有个判定标准，米其林三星预制菜多了去了！,2025-09-13T10:58:18+08:00,1,11,brand_pr_crisis,luoyonghao,question,neutral,rational_argument;information_claim,low_risk_discussion,2,0.85,false,质疑罗永浩偷换概念，并主张预制菜需要标准。,train
S0135,top_liked,bilibili_comment:274612389809,bilibili_video:115195200477658,西贝连夜召开1.8万人罗永浩作战大会，罗永浩：西贝真正的敌人不是我,comment,bilibili:255946554,伴随着你2016,有个评论我很赞同，贾老板这个年纪的人和普罗大众已经脱节了，完全活在自己的世界里，毕竟从睁眼那一刻开始 周围一圈人都是对他毕恭毕敬。所以，他的世界很自负。,2025-09-14T10:48:29+08:00,698,9,brand_pr_crisis,xibei,question,disappointed,rational_argument;personal_experience,reputational_attack,4,0.9,false,批评贾国龙脱离大众、自负，对个人声誉有攻击,train
S0286,top_liked,bilibili_comment:276104678256,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,reply,bilibili:478794937,银河集市,专攻儿童的，广告词都是“家有宝贝，就吃西贝”还给小孩整小气球啥的，小孩喜欢爸妈也没办法,2025-09-15T08:51:44+08:00,329,4,food_safety_child_meal,xibei,question,neutral,information_claim,low_risk_discussion,2,0.8,false,描述西贝儿童餐营销,train
S0498,top_replied,bilibili_comment:276249355088,bilibili_video:115213655414090,罗永浩再停战，西贝自杀式公关，预制菜到底怎么算？,comment,bilibili:14264444,两织小蜜蜂,跨省追踪是什么意思？有没有网友能科普一下？,2025-09-16T20:18:57+08:00,6,11,consumer_right_to_know,unclear,neutral,neutral,questioning,low_risk_discussion,1,0.7,false,询问跨省追踪含义，寻求信息。,train
S0446,top_replied,bilibili_comment:276040050592,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,comment,bilibili:502005240,珛公子大魔王,这次我站西贝这一边，因为西贝让我知道有钱人吃得还不如本人这个穷人新鲜，真是幸福感满满。[笑哭][笑哭][笑哭]备注：本人都是超市买打折菜回出租屋现做，所有食材不保留超过二天。,2025-09-14T16:09:03+08:00,128,13,prepared_food_authenticity,xibei,support,sarcastic,personal_experience;sarcasm,low_risk_discussion,3,0.9,false,用个人经历反讽西贝使用预制菜,train
S0465,top_replied,bilibili_comment:276147196544,bilibili_video:115207565220229,罗永浩和西贝吵架，华与华先道歉！,comment,bilibili:342816037,原子机械猫,这华与华战败的太快了，没劲啊，本来以为是个大将，结果上阵一刀就被砍了[笑哭],2025-09-15T18:25:28+08:00,95,12,meme_offtopic,unclear,neutral,positive,meme;simple_attitude,low_risk_discussion,1,0.85,false,玩梗调侃，无实质内容。,train
S0063,top_liked,bilibili_comment:275872394816,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,comment,bilibili:24556340,鱼刺931,罗总天生做媒体的，手机算误入歧途了,2025-09-13T00:17:28+08:00,1358,2,luoyonghao_persona,luoyonghao,support,positive,simple_attitude,low_risk_discussion,2,0.9,false,简单肯定罗永浩的媒体能力。,train
S1178,random,bilibili_comment:274595053297,bilibili_video:115195200477658,西贝连夜召开1.8万人罗永浩作战大会，罗永浩：西贝真正的敌人不是我,reply,bilibili:1431555951,Jack的脑洞,"回复 @紫灵主人 :你搞反了，媒体起到的作用只是扩大声量，能做的是当事件的扩音喇叭。
真正让这件事火起来的，是因为消费者对这种预制菜卖现炒价的长期不满。可能有些人没吃过西贝，但是一定有过类似的经历，所以看到了才会喷，西贝只是个代表。",2025-09-14T03:57:32+08:00,0,1,price_value,consumers,support,neutral,rational_argument;information_claim,low_risk_discussion,2,0.9,false,理性分析消费者对预制菜溢价的不满,train
S0272,top_liked,bilibili_comment:274643120465,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,reply,bilibili:86245362,斯德哥尔摩_情人,啪、啪、啪！,2025-09-14T16:24:29+08:00,352,4,meme_offtopic,unclear,neutral,positive,meme,low_risk_discussion,1,0.8,false,拍手表情，玩梗,train
S1200,random,bilibili_comment:274621425057,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,reply,bilibili:3546556793883061,cuihaokun,回复 @飞翔得阳仔 :还是要看针对什么消费群体，你像热水器其实挺便宜主要适用范围在中国市场上的劳工宿舍和农村其性价比与消费能力是主要原因，但是像商业套房和小区他们有点经济基础的就不买一是不喜欢二是产品真不比上那些高级货，其次就是自家工人他们对产品的情况是一清二楚,2025-09-14T12:20:49+08:00,1,0,meme_offtopic,unclear,unclear,neutral,rational_argument,low_risk_discussion,1,0.7,false,讨论热水器消费群体，与预制菜事件无关，属于跑题。,train
S1443,random,bilibili_comment:289968877200,bilibili_video:115966767996636,封号斗罗贾国龙：我是如何把时代红利吐出来的？【网络狠人76】,comment,bilibili:477427431,二十年目睹之怪状,[星星眼],2026-01-28T17:32:12+08:00,0,0,other_unclear,unclear,neutral,positive,simple_attitude,low_risk_discussion,1,0.9,false,纯表情，无实质内容,train
S1345,random,bilibili_comment:276346138976,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,comment,bilibili:3546693471570027,雾霾吸进了肺里,西贝员工：“无形之刃，最为致命！”,2025-09-17T19:17:12+08:00,0,0,meme_offtopic,unclear,neutral,neutral,meme,low_risk_discussion,1,0.9,false,引用游戏台词玩梗,train
S0348,top_replied,bilibili_comment:276227123296,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,comment,bilibili:91424944,kingmighty,现在为什么对预制菜那么魔怔，预制又有什么不好，难道菜要现场种植采摘，肉要现场屠宰的也行吗？只要预制菜干净卫生，符合卫生标准，又有什么不可以呢，定价的问题，自然会有市场规律和消费者评判。,2025-09-16T16:05:13+08:00,6,26,prepared_food_authenticity,industry,support,neutral,rational_argument,low_risk_discussion,2,0.8,false,理性支持预制菜，认为干净卫生即可,train
S1484,random,bilibili_comment:276145112976,bilibili_video:115193388468394,罗永浩PK西贝，全程40分钟脱口秀【40分纯享版】,comment,bilibili:9060226,謎の零使徒,半预制菜只要价格合适是可以接受的，新鲜的是食材完全没有添加过添加剂的，直接从市场上购买的.,2025-09-15T18:01:31+08:00,0,0,price_value,consumers,support,positive,simple_attitude,low_risk_discussion,1,0.9,false,表达接受半预制菜但需价格合适，态度积极,train
S0911,random,bilibili_comment:274771359249,bilibili_video:115207565220229,罗永浩和西贝吵架，华与华先道歉！,comment,bilibili:251128079,铁西老雪,希望它倒闭的可不是老罗，是和它定位相似的大型连锁餐饮企业。,2025-09-15T23:50:44+08:00,1,0,brand_pr_crisis,xibei,question,neutral,rational_argument,low_risk_discussion,2,0.9,false,评论指出竞争对手希望西贝倒闭，属于品牌公关危机讨论，理性分析，无风险。,train
S0512,top_replied,bilibili_comment:274562687537,bilibili_video:115196995570707,罗永浩炮轰西贝预制菜？到底谁输谁赢？,comment,bilibili:397210351,电竞柱间,西贝实在太贵了，好难吃,2025-09-13T20:38:30+08:00,58,10,price_value,xibei,question,negative,simple_attitude,low_risk_discussion,2,0.9,false,直接批评西贝贵且难吃，表达负面态度,train
S0891,random,bilibili_comment:274606540209,bilibili_video:115193388468394,罗永浩PK西贝，全程40分钟脱口秀【40分纯享版】,comment,bilibili:406115996,EEBEHE,一个馒头卖21，还真是只坑有钱人,2025-09-14T09:37:41+08:00,0,0,price_value,xibei,question,sarcastic,sarcasm;simple_attitude,reputational_attack,3,0.9,false,讽刺西贝高价馒头，质疑价格与价值不符。,train
S0280,top_liked,bilibili_comment:276016744624,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,reply,bilibili:1476601323,梦中一日醉,上次用转基因油被罚的是肯德基还是麦当劳[笑哭],2025-09-14T12:04:03+08:00,333,5,other_unclear,unclear,neutral,neutral,information_claim,low_risk_discussion,1,0.7,false,提及转基因油被罚事件，与西贝关联弱,train
S0839,source_stratified,bilibili_comment:276785894880,bilibili_video:115245498500488,罗永浩：我这辈子没打过这么离谱的仗，对方上来先捅了自己20多刀…,comment,bilibili:3546974754179442,账号已注销,老贾是个狠人，把自己脖子抹了 也要呲你一身血……[捂脸],2025-09-22T10:39:42+08:00,20,0,brand_pr_crisis,xibei,question,sarcastic,sarcasm;meme,low_risk_discussion,2,0.8,false,用自残比喻讽刺西贝老板的公关行为,train
S0704,source_stratified,bilibili_comment:276263161360,bilibili_video:115213655414090,罗永浩再停战，西贝自杀式公关，预制菜到底怎么算？,reply,bilibili:36612117,對線冂槛哽劾哙員,"乡村基, 老乡鸡, 大米先生为什么可以?",2025-09-16T22:41:21+08:00,17,5,prepared_food_authenticity,xibei,question,neutral,questioning,low_risk_discussion,3,0.9,false,拿其他品牌对比，质疑西贝为什么不行,train
S1343,random,bilibili_comment:291782602609,bilibili_video:115959067056250,现在最怕西贝死的人，竟然是罗永浩！,comment,bilibili:372513152,海音家德文,预不预制菜不说，西贝卖那么贵，结果用的最便宜的转基因大豆油，可想而知这种企业人前一套背后一套,2026-03-02T00:46:51+08:00,2,0,food_safety_child_meal,xibei,question,negative,rational_argument;simple_attitude,low_risk_discussion,3,0.9,false,指责西贝贵且用转基因大豆油,train
S0139,top_liked,bilibili_comment:274616656321,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,comment,bilibili:2619996,小夜宇w,[doge]西贝打着有机零添加走健康母婴的路线，用预制菜添加剂临期产品。还当现炒的菜卖很贵就过分了,2025-09-14T11:32:54+08:00,694,18,prepared_food_authenticity,xibei,question,disappointed,rational_argument;questioning,low_risk_discussion,4,0.9,false,批评西贝健康路线但用预制菜添加剂并卖高价,train
S0706,source_stratified,bilibili_comment:274774338337,bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,comment,bilibili:424784898,又被你猜到了,谁把预制菜放我家冰箱了,2025-09-16T00:28:01+08:00,2,0,meme_offtopic,unclear,neutral,sarcastic,sarcasm;meme,low_risk_discussion,2,0.9,false,玩梗讽刺预制菜，不直接讨论,train
S0937,random,bilibili_comment:289015128688,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,reply,bilibili:18793509,桑葚哒,回复 @冰封痛点 :我没吃过西贝所以我共情那些没吃过西贝的，因为21块钱一个馒头用的是我们这些老百姓种的只能卖一块多一斤的白面做的。我有钱可以做一些有意义的事情，比如弘扬孔子文化，比如帮助老弱妇孺，并不是去几趟西贝被西贝当傻子，自己跟别人吹上流！如果用过吃过才能抵制的话，是不是飞过🍃的才能当林则徐？,2026-01-19T16:31:35+08:00,0,0,price_value,xibei,question,negative,rational_argument;information_claim,boycott_mobilization;low_risk_discussion,4,0.9,false,批评西贝高价，抵制情绪明显，有动员嫌疑。,train
S1013,random,bilibili_comment:275994102224,bilibili_video:115193388468394,罗永浩PK西贝，全程40分钟脱口秀【40分纯享版】,reply,bilibili:37655349,讠井文明树新风,回复 @暴龙战神王子刚 :有没有可能是提前计划好的？罗永浩最擅长的就是三部曲就是，制造矛盾，激化矛盾，控制矛盾。预制菜当然不可取，但从另个方面分析，罗永浩又把自己变成焦点了[笑哭],2025-09-14T06:55:08+08:00,0,1,luoyonghao_persona,luoyonghao,question,sarcastic,sarcasm;questioning;rational_argument,low_risk_discussion,2,0.85,false,质疑罗永浩制造矛盾，带讽刺表情，有理性分析。,train
S1244,random,bilibili_comment:274572997633,bilibili_video:115196995570707,罗永浩炮轰西贝预制菜？到底谁输谁赢？,comment,bilibili:1760025985,Dev_Mio_Zzzz,西贝不就是中式快餐么，吹啥呀，还不如新疆驻京办的餐厅。,2025-09-13T22:16:00+08:00,0,0,brand_pr_crisis,xibei,question,negative,simple_attitude,reputational_attack,3,0.8,false,直接贬低西贝为快餐，并称不如其他餐厅，攻击品牌声誉。,train
S1068,random,bilibili_comment:274840600593,bilibili_video:115213655414090,罗永浩再停战，西贝自杀式公关，预制菜到底怎么算？,reply,bilibili:26545652,警惕小樱打库洛牌,好家伙[笑哭][支持],2025-09-16T20:33:13+08:00,54,0,meme_offtopic,unclear,neutral,positive,meme;simple_attitude,low_risk_discussion,1,0.8,false,用表情回应，表示好笑和支持,train
S0837,source_stratified,bilibili_comment:276280902768,bilibili_video:115208504741593,西贝和罗永浩打官司的话谁赢面大？有握手言和的可能吗？,comment,bilibili:1159287022,马林JQ,前一段时间，有一个IP是加拿大的人，直接说外国冷链是可以直接食用的标准[笑哭][笑哭][笑哭],2025-09-17T05:00:32+08:00,0,0,food_safety_child_meal,unclear,neutral,sarcastic,information_claim;sarcasm,low_risk_discussion,1,0.7,false,提及外国冷链标准，带笑哭表情，略带讽刺,train
S0919,random,bilibili_comment:274762264369,bilibili_video:115208504741593,西贝和罗永浩打官司的话谁赢面大？有握手言和的可能吗？,reply,bilibili:343658893,海龙Sea_Dragon,我就要中间这个预制菜,2025-09-15T22:07:46+08:00,137,1,prepared_food_authenticity,unclear,neutral,neutral,simple_attitude,low_risk_discussion,1,0.9,false,简短表态，要预制菜，无立场倾向，低风险。,train
S0396,top_replied,bilibili_comment:276244722192,bilibili_video:115213655414090,罗永浩再停战，西贝自杀式公关，预制菜到底怎么算？,comment,bilibili:49802047,笔筒的可能性,不如甜甜花酿鸡,2025-09-16T19:30:02+08:00,147,17,meme_offtopic,unclear,unclear,neutral,meme,low_risk_discussion,1,0.95,false,引用游戏梗，完全脱离主题。,train
S1418,random,bilibili_comment:276137719504,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,reply,bilibili:9278341,牛辣宝,回复 @我不是期神 : 十年前就火起来了，  都是在东部沿海一线shoppingmall里，只不过最近几年菜品下降很大价格反而上涨搞得去吃的人逐渐减少，其实早些年他菜品还行的时候也是预制菜，而且真正常去吃的人群本来也都知道他们是预制菜，并不需要姓罗的点拨,2025-09-15T16:23:22+08:00,1,0,prepared_food_authenticity,consumers,neutral,neutral,rational_argument;information_claim,low_risk_discussion,2,0.9,false,分析预制菜早已存在且消费者知情，中立,train
S0675,source_stratified,bilibili_comment:274818341825,bilibili_video:115212816485947,罗永浩：我真没打，他就先捅了自己20多刀...我该怎么办？,comment,bilibili:3546938532169893,账号已注销,老罗站那架势都还没摆好，对面上来就给自己改花刀[tv_流泪][tv_流泪][tv_流泪],2025-09-16T16:08:41+08:00,23,0,meme_offtopic,xibei,question,sarcastic,sarcasm;meme,low_risk_discussion,1,0.7,false,比喻西贝自爆，玩梗式讽刺，风险低。,train
S0517,top_replied,bilibili_comment:274579233105,bilibili_video:115193388468394,罗永浩PK西贝，全程40分钟脱口秀【40分纯享版】,comment,bilibili:1300690,傻傻美,"说西贝缺德，什么狗屁古法戗面馒头纯属智商税，是可以的。
但是罗有几个观点是站不住脚的，
1 为什么商家必须公开说明自己的菜是不是预制菜？有法律强制规定吗？
2 为什么预制菜就应该卖的便宜？它想卖多贵卖随便。由食客去选择就行了。
为什么罗说的这么别扭，归根揭底，有一个隐藏因素，老罗不敢说，就是有很多对健康有需求，对食材安全有追求的人群，对符合国家标准的添加剂并不放心。因为他们关注了一些国外的负面新闻，仔细研究一下就发现标准不一样",2025-09-13T23:15:48+08:00,1,10,consumer_right_to_know,luoyonghao,question,neutral,rational_argument;questioning;information_claim,low_risk_discussion,4,0.85,false,理性分析罗永浩观点漏洞，探讨消费者知情权与添加剂标准,train
S0605,source_stratified,bilibili_comment:275975044560,bilibili_video:115196894908031,罗永浩也是懵了，自杀式公关还是第一次见。,reply,bilibili:21106705,Stay灬小白,回复 @秀下限无节操 :老板年纪大了，脱离群众太久了，董小姐，西贝贾老板，造车那个李老板，甚至雷布斯也隐隐有这种迹象[doge],2025-09-13T23:21:33+08:00,1,0,industry_trust,industry,question,sarcastic,sarcasm;rational_argument,low_risk_discussion,2,0.7,false,用户讽刺企业家脱离群众，提及多位老板，属于行业信任讨论。,train
S1222,random,bilibili_comment:274848131505,bilibili_video:115207514947699,9月16事态升级【罗永浩VS西贝】大卫哥双开巅峰赛！,reply,bilibili:294383355,Xh魇昼星魂,预制菜是不能放任何防腐剂的，西贝这玩意还真不是预制菜，他不配（不匹配）[笑哭],2025-09-16T21:54:51+08:00,0,0,prepared_food_authenticity,xibei,question,sarcastic,sarcasm;information_claim,low_risk_discussion,2,0.8,false,质疑西贝产品不算预制菜，带讽刺表情。,train
S1400,random,bilibili_comment:275043270097,bilibili_video:115213655414090,罗永浩再停战，西贝自杀式公关，预制菜到底怎么算？,reply,bilibili:13196564,啃笔的皂皂,这也就是阿里旗下的高德搞那个烟火榜的意义吧。你说这个节骨眼上这些事一起来有没有可能并非巧合呢[吃瓜],2025-09-19T01:47:01+08:00,0,0,industry_trust,industry,question,neutral,information_claim;questioning,low_risk_discussion,2,0.7,false,暗示高德烟火榜与西贝事件可能非巧合，提出疑问。,train
S1323,random,bilibili_comment:276077038848,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,comment,bilibili:687982123,你可长发,我最早认识老罗，就是大中小杯奶茶，,2025-09-14T22:31:15+08:00,5,0,luoyonghao_persona,luoyonghao,support,positive,personal_experience,low_risk_discussion,2,0.8,false,回忆老罗早期维权形象，正面提及,train
S1198,random,bilibili_comment:290167101633,bilibili_video:115966767996636,封号斗罗贾国龙：我是如何把时代红利吐出来的？【网络狠人76】,reply,bilibili:3546753041172482,天然滋润,我表姐喜欢这个，还带我家一起[笑哭] 感觉好像比周边几家高级，其实我吃了一次就不想再去了。日料、 自助才几个钱，性价比高多了,2026-02-17T07:34:52+08:00,0,0,price_value,xibei,question,negative,personal_experience,low_risk_discussion,2,0.85,false,个人体验认为西贝性价比低，表达不满。,train
S0998,random,bilibili_comment:284844624833,bilibili_video:115207514947699,9月16事态升级【罗永浩VS西贝】大卫哥双开巅峰赛！,comment,bilibili:3546908381415862,东洋葱头,估计180天了,2025-12-29T22:50:24+08:00,3,0,other_unclear,unclear,neutral,neutral,simple_attitude,low_risk_discussion,1,0.7,false,估计天数，语境不明,train
