relation_id,source_id,source_title,source_user_id,source_user_name,target_user_id,target_user_name,content_id,target_content_id,created_at,source_topic,target_topic,source_sentiment,target_sentiment,source_stance,target_stance,same_topic,same_sentiment,same_stance,weight
relation:ac7f426a42dea4685936,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:8396203,怡红公子不懂爱,bilibili_comment:275875327808,bilibili_comment:275875231856,2025-09-13T00:54:39+08:00,other_unclear,mockery_meme,neutral,sarcastic,unclear_meme,unclear_meme,false,false,true,1.0
relation:accc66916fe8007d1b98,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:2141620854,饭菜不能太油,bilibili:279661,JIUQIANSHUODAO,bilibili_comment:274484898497,bilibili_comment:274473845969,2025-09-13T00:59:03+08:00,price_value,prepared_food_authenticity,negative,sarcastic,question_xibei,question_xibei,false,false,true,1.0
relation:3d2fb31b2d547462e498,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:38514168,Kalataer,bilibili:8396203,怡红公子不懂爱,bilibili_comment:274485405233,bilibili_comment:275875231856,2025-09-13T01:09:29+08:00,price_value,mockery_meme,neutral,sarcastic,question_xibei,unclear_meme,false,false,false,1.0
relation:d832b98a5b2490e82149,bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,bilibili:32271766,加百列的香菜,bilibili:1216717318,b站b站真好玩啊,bilibili_comment:274486392369,bilibili_comment:275877306880,2025-09-13T01:25:02+08:00,prepared_food_authenticity,prepared_food_authenticity,neutral,neutral,question_xibei,neutral_discussion,true,true,false,1.0
relation:496dd0480185ea4744d6,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:260233008,404Worle,bilibili:37087045,皇后的头风,bilibili_comment:275878233712,bilibili_comment:275860410384,2025-09-13T01:40:17+08:00,consumer_right_to_know,other_unclear,negative,neutral,question_xibei,unclear_meme,false,false,false,1.0
relation:1aed19ed7a835803a6a6,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:2138207,C-Farer,bilibili:15350722,MISSC0622,bilibili_comment:275878478528,bilibili_comment:275874442320,2025-09-13T01:48:48+08:00,mockery_meme,prepared_food_authenticity,sarcastic,negative,unclear_meme,question_xibei,false,false,false,1.0
relation:4fb61d6205eeac0369d2,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:295053044,wujiang6188,bilibili:24556340,鱼刺931,bilibili_comment:275878970688,bilibili_comment:275872394816,2025-09-13T01:54:00+08:00,luoyonghao_persona,other_unclear,neutral,neutral,neutral_discussion,unclear_meme,false,true,false,1.0
relation:8ff2359f16238b2164ab,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:4192127,JohnMarston123,bilibili:26391649,欢喵爱吃鱼,bilibili_comment:275882712560,bilibili_comment:275874272048,2025-09-13T03:51:21+08:00,other_unclear,food_safety_child_meal,negative,negative,question_xibei,question_xibei,false,true,true,1.0
relation:ca89f4749f66a0b52282,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:5320941,周一二二二,bilibili:26391649,欢喵爱吃鱼,bilibili_comment:275883702096,bilibili_comment:275874272048,2025-09-13T04:37:26+08:00,prepared_food_authenticity,food_safety_child_meal,negative,negative,question_xibei,question_xibei,false,true,true,1.0
relation:7e44971d3cb9a52bdaa9,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:4181070,屋昂玩,bilibili:21790653,啊南1988,bilibili_comment:274492857649,bilibili_comment:274481022673,2025-09-13T05:04:43+08:00,consumer_right_to_know,prepared_food_authenticity,neutral,neutral,unclear_meme,question_xibei,false,true,false,1.0
relation:c31623e4badcad647bb5,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:24685432,茜特拉莉丶,bilibili:346432948,agere23,bilibili_comment:275884517968,bilibili_comment:275868105248,2025-09-13T05:40:35+08:00,luoyonghao_persona,other_unclear,sarcastic,positive,unclear_meme,unclear_meme,false,false,true,1.0
relation:61de1ef4c7860db2a81c,bilibili_video:115191693968861,罗永浩9月12日西贝门事件直播全程,bilibili:28281238,速溶达芬奇,bilibili:516831106,渔人老不死,bilibili_comment:275884941936,bilibili_comment:275882359904,2025-09-13T06:00:33+08:00,price_value,prepared_food_authenticity,negative,neutral,question_xibei,neutral_discussion,false,false,false,1.0
relation:421a992876c4db02fd76,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:351353693,帐号巳汪诮,bilibili:15350722,MISSC0622,bilibili_comment:274497321697,bilibili_comment:275874442320,2025-09-13T07:59:57+08:00,other_unclear,prepared_food_authenticity,neutral,negative,question_xibei,question_xibei,false,false,true,1.0
relation:8de480b5840b0d698d9f,bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,bilibili:3546927742323141,大人時代變了,bilibili:484701316,两难自解的智慧,bilibili_comment:275891196432,bilibili_comment:275889342208,2025-09-13T08:41:34+08:00,price_value,price_value,negative,negative,question_xibei,question_xibei,true,true,true,1.0
relation:5a722f7864388f43f425,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:392790342,_吃瓜群眾,bilibili:346432948,agere23,bilibili_comment:275893726816,bilibili_comment:275868105248,2025-09-13T09:16:22+08:00,luoyonghao_persona,other_unclear,neutral,positive,unclear_meme,unclear_meme,false,false,true,1.0
relation:6e405cd3ade56d5da340,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:3461562180307133,电动滑板TV,bilibili_comment:275897146800,bilibili_comment:275892825888,2025-09-13T10:01:07+08:00,other_unclear,mockery_meme,neutral,sarcastic,neutral_discussion,question_xibei,false,false,false,1.0
relation:d91070d708f7b5b04e88,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:650065334,梧桐山老师傅,bilibili_comment:275903121904,bilibili_comment:275902630160,2025-09-13T11:10:44+08:00,other_unclear,prepared_food_authenticity,neutral,neutral,unclear_meme,question_xibei,false,true,false,1.0
relation:739c6483aef5aa600c14,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:3493289095334193,Sjasth,bilibili_comment:275903800608,bilibili_comment:274511370081,2025-09-13T11:19:48+08:00,other_unclear,catering_industry_general,neutral,sarcastic,unclear_meme,unclear_meme,false,false,true,1.0
relation:44e75b882206cf5844f0,bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,bilibili:259488873,zhwlkt,bilibili:355872103,火锅吃很辣,bilibili_comment:274511685985,bilibili_comment:275901506336,2025-09-13T11:21:38+08:00,other_unclear,price_value,neutral,neutral,question_xibei,support_xibei,false,true,false,1.0
relation:5d28ba2d4903df224ae3,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:18607741,不恭顽石,bilibili:3493289095334193,Sjasth,bilibili_comment:275908350992,bilibili_comment:274511370081,2025-09-13T12:04:56+08:00,prepared_food_authenticity,catering_industry_general,negative,sarcastic,question_xibei,unclear_meme,false,false,false,1.0
relation:e51695aa9ffeb2fa730e,bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,bilibili:699425002,秋名楓,bilibili:38144534,梅志豪大大,bilibili_comment:275909322224,bilibili_comment:275887551728,2025-09-13T12:14:09+08:00,luoyonghao_persona,prepared_food_authenticity,sarcastic,neutral,unclear_meme,question_luoyonghao,false,false,false,1.0
relation:a8319f9a2939f4622b08,bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,bilibili:37998866,小狗过来呀,bilibili:343876,karanoshoujo,bilibili_comment:274517432817,bilibili_comment:274516451121,2025-09-13T12:23:06+08:00,prepared_food_authenticity,prepared_food_authenticity,neutral,neutral,question_xibei,question_xibei,true,true,true,1.0
relation:846e0b39e250a3f7128e,bilibili_video:115192130181384,罗永浩痛批西贝太缺德！一个馒头卖21块，比米其林餐厅还贵！#罗永浩#西贝#预制菜#太离谱,bilibili:2120688424,61分会员,bilibili:395906405,增智慧5a190基本,bilibili_comment:275912501648,bilibili_comment:275911726400,2025-09-13T12:43:08+08:00,other_unclear,price_value,neutral,sarcastic,unclear_meme,unclear_meme,false,false,true,1.0
relation:4cb7dafff8d522344858,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,bilibili:384483897,指间沙逝水,bilibili:304111943,未定之两,bilibili_comment:274528024465,bilibili_comment:275912427568,2025-09-13T14:16:44+08:00,prepared_food_authenticity,prepared_food_authenticity,neutral,neutral,question_xibei,question_xibei,true,true,true,1.0
relation:68404525f6ea001716ad,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:30447204,Pika张点点,bilibili_comment:275926861408,bilibili_comment:275925642800,2025-09-13T15:22:09+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:37e25e2a2703632f1a12,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:37087045,皇后的头风,bilibili:166576396,滑雪雪豹,bilibili_comment:275929842448,bilibili_comment:274534621793,2025-09-13T15:56:48+08:00,other_unclear,food_safety_child_meal,neutral,sarcastic,unclear_meme,question_xibei,false,false,false,1.0
relation:2aed4603a71d000db867,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,bilibili:84095883,琴心剑语灬,bilibili:408436013,Mr-__,bilibili_comment:274537192209,bilibili_comment:275926238096,2025-09-13T16:13:14+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:a20d41de30d3530a739e,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,bilibili:37759770,过期美少年侦探柯南,bilibili:4400315,霜之哀伤2014,bilibili_comment:274538002273,bilibili_comment:275930139552,2025-09-13T16:21:06+08:00,mockery_meme,price_value,sarcastic,neutral,unclear_meme,question_xibei,false,false,false,1.0
relation:0aeb87ea4f1cfb71c672,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,bilibili:66658030,天降流弹,bilibili:4121086,黑_李子,bilibili_comment:275932330048,bilibili_comment:274533887233,2025-09-13T16:27:05+08:00,mockery_meme,other_unclear,sarcastic,neutral,unclear_meme,question_xibei,false,false,false,1.0
relation:45261e9c03a6cc0676b8,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,bilibili:21252756,世界树73,bilibili:4121086,黑_李子,bilibili_comment:274540823265,bilibili_comment:274533887233,2025-09-13T16:56:19+08:00,prepared_food_authenticity,other_unclear,neutral,neutral,unclear_meme,question_xibei,false,true,false,1.0
relation:d985512dfe014e09fe75,bilibili_video:115191660484682,罗永浩手撕西贝直播全程【29分钟纯享版】,bilibili:703205445,纷纷绕绕断风云,bilibili:166576396,滑雪雪豹,bilibili_comment:275936842256,bilibili_comment:274534621793,2025-09-13T17:18:43+08:00,other_unclear,food_safety_child_meal,negative,sarcastic,question_xibei,question_xibei,false,false,true,1.0
relation:9c9680601467ff34a844,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:3493117837707388,叫我嘿嘿潇洒哥,bilibili:419175194,杉木橦,bilibili_comment:274560781489,bilibili_comment:274549588065,2025-09-13T20:19:02+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:0db34c6251127d39a9db,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:299261802,飞翰_,bilibili:90581079,我的艾达老婆,bilibili_comment:275961649296,bilibili_comment:274556246897,2025-09-13T21:17:27+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:a216a9a70975971e7aa8,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:449716778,月色慢递员,bilibili:1467643346,橘柚橸,bilibili_comment:274567197825,bilibili_comment:275951003312,2025-09-13T21:22:19+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:29eca8f73927b2497c5c,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:228347038,索马里难民x,bilibili:419175194,杉木橦,bilibili_comment:275969346256,bilibili_comment:274549588065,2025-09-13T22:29:13+08:00,price_value,other_unclear,neutral,neutral,unclear_meme,unclear_meme,false,true,true,1.0
relation:2c9987a168528322f230,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:239030260,梦柯啊啊啊,bilibili:1467643346,橘柚橸,bilibili_comment:274578694673,bilibili_comment:275951003312,2025-09-13T23:11:32+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:b908f7db17de08f02fb0,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:45891858,氺菓菋,bilibili:6720185,左旋Cs,bilibili_comment:274591797857,bilibili_comment:274589316353,2025-09-14T02:10:28+08:00,luoyonghao_persona,price_value,neutral,neutral,unclear_meme,question_xibei,false,true,false,1.0
relation:3a433b6732151e6f82e7,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:14455663,右乘行满秩不变,bilibili:233587785,_旧青年,bilibili_comment:274592702241,bilibili_comment:274585504529,2025-09-14T02:31:32+08:00,catering_industry_general,price_value,sarcastic,sarcastic,unclear_meme,unclear_meme,false,true,true,1.0
relation:a9c75938ad95ae5ce2cf,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:14455663,右乘行满秩不变,bilibili:3546587034815126,Meowtains,bilibili_comment:274592822273,bilibili_comment:275978881616,2025-09-14T02:34:17+08:00,luoyonghao_persona,price_value,sarcastic,neutral,unclear_meme,unclear_meme,false,false,true,1.0
relation:ab6a38a0d272de5203a1,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:38871056,牛爱花酱,bilibili:90581079,我的艾达老婆,bilibili_comment:274596590097,bilibili_comment:274556246897,2025-09-14T05:28:28+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:a26cb361be69e0bc891b,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:1942165696,仰望星空群星灿烂,bilibili:666839416,看视频的工程师,bilibili_comment:274596665921,bilibili_comment:275985031072,2025-09-14T05:32:29+08:00,other_unclear,other_unclear,sarcastic,neutral,unclear_meme,unclear_meme,true,false,true,1.0
relation:99d9c183558a6a990337,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:61525780,理太fly,bilibili:6720185,左旋Cs,bilibili_comment:274597627249,bilibili_comment:274589316353,2025-09-14T06:29:12+08:00,price_value,price_value,negative,neutral,neutral_discussion,question_xibei,true,false,false,1.0
relation:bf06dd8a96797e3c1ed0,bilibili_video:115191777923213,从西门子冰箱到西贝预制菜，罗永浩的“较真”从未缺席家人们！今天必须聊聊罗永浩，当年他怒砸西门子冰箱，为消费者维权，那场面太震撼了！,bilibili:108539549,咿唷咿呀,bilibili:666839416,看视频的工程师,bilibili_comment:275994371248,bilibili_comment:275985031072,2025-09-14T07:03:45+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:e6b4d2e2813bb30186c7,bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,bilibili:404524214,RoyMakaay7,bilibili:508740440,蜗牛瑶妖,bilibili_comment:275996889328,bilibili_comment:275995916752,2025-09-14T08:05:35+08:00,prepared_food_authenticity,consumer_right_to_know,negative,neutral,question_xibei,question_xibei,false,false,true,1.0
relation:f5035c21caaddd730263,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:562351816,Aemeathの猫,bilibili:233587785,_旧青年,bilibili_comment:276005945920,bilibili_comment:274585504529,2025-09-14T10:13:01+08:00,price_value,price_value,neutral,sarcastic,unclear_meme,unclear_meme,true,false,true,1.0
relation:97236b4d8873832d4200,bilibili_video:115195083034113,西贝创始人贾国龙回应预制菜风波，我们是不一般的预制菜。,bilibili:258391753,Chan_Song-Yi,bilibili:21921544,与娄葑门,bilibili_comment:274616796657,bilibili_comment:275961144592,2025-09-14T11:36:02+08:00,other_unclear,prepared_food_authenticity,neutral,sarcastic,unclear_meme,question_xibei,false,false,false,1.0
relation:43a7f9f36b9e1b9c6cb6,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:488404711,人生不是电视剧,bilibili:2800590,cheefay,bilibili_comment:276014041568,bilibili_comment:274616833537,2025-09-14T11:37:18+08:00,mockery_meme,food_safety_child_meal,sarcastic,sarcastic,unclear_meme,question_xibei,false,true,false,1.0
relation:0d278847209aaeeb57c8,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:32794463,一脚一个反思怪,bilibili:2800590,cheefay,bilibili_comment:274617963889,bilibili_comment:274616833537,2025-09-14T11:46:59+08:00,other_unclear,food_safety_child_meal,neutral,sarcastic,unclear_meme,question_xibei,false,false,false,1.0
relation:eba9ec4ab9e36c032b6a,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:302530314,一株大香菇,bilibili:88525105,鹿的洗碗人,bilibili_comment:276015128736,bilibili_comment:276014706096,2025-09-14T11:48:03+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,question_xibei,true,true,false,1.0
relation:a1fc94b7dae4ee904a3e,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:239832158,夜微凉人生忆,bilibili:88525105,鹿的洗碗人,bilibili_comment:274618546017,bilibili_comment:276014706096,2025-09-14T11:53:09+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,question_xibei,true,true,false,1.0
relation:b94c3ca84f3512ebc61b,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:63606708,拥有太晶飞的固拉多,bilibili:33709459,猪呆呆吃玉米,bilibili_comment:276024185600,bilibili_comment:274614433969,2025-09-14T13:11:45+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:fa930915a1247a02708d,bilibili_video:115196525805764,罗永浩吐槽，西贝戗面馒头每个21元，黑珍珠一钻餐厅包子只要16元,bilibili:159147571,对面的杜老头,bilibili:33709459,猪呆呆吃玉米,bilibili_comment:274632291617,bilibili_comment:274614433969,2025-09-14T14:13:16+08:00,other_unclear,other_unclear,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:4610eeea5b44a3f339d2,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:1722854,_催眠君_,bilibili:16569302,弃庸乎,bilibili_comment:274632996561,bilibili_comment:276018838736,2025-09-14T14:21:12+08:00,mockery_meme,mockery_meme,neutral,neutral,unclear_meme,unclear_meme,true,true,true,1.0
relation:e13e5fb62e96d3611380,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:2984705,夢夢gtz,bilibili:40853970,演员熊凤山,bilibili_comment:276033172384,bilibili_comment:274633406769,2025-09-14T14:47:44+08:00,mockery_meme,mockery_meme,neutral,sarcastic,unclear_meme,unclear_meme,true,false,true,1.0
relation:a0217c35386c8745c8a6,bilibili_video:115197800941925,罗永浩PK西贝，全程55分钟脱口秀，【无删减】火力全开，直播回放太精彩,bilibili:227634994,Pengpeng芃丶,bilibili:331234234,熊猫毛很乱,bilibili_comment:274638094433,bilibili_comment:275987568448,2025-09-14T15:22:24+08:00,luoyonghao_persona,luoyonghao_persona,neutral,sarcastic,unclear_meme,unclear_meme,true,false,true,1.0
relation:a6e03f8647a7efd664b3,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:28860133,红豆南国等你,bilibili:7644696,吧啦吧啦kimoji,bilibili_comment:276038706720,bilibili_comment:274617905569,2025-09-14T15:53:48+08:00,mockery_meme,prepared_food_authenticity,sarcastic,neutral,unclear_meme,question_xibei,false,false,false,1.0
relation:8634e208b4ebe4a89795,bilibili_video:115198320972353,西贝大战罗永浩，结果导致品牌自爆。大伙儿关心的真实预制菜吗？,bilibili:500071351,tensorflow--,bilibili:494463119,我在辟谷,bilibili_comment:274642205793,bilibili_comment:276040114912,2025-09-14T16:14:35+08:00,other_unclear,other_unclear,positive,neutral,unclear_meme,unclear_meme,true,false,true,1.0
