source_user_id,source_user_name,target_user_id,target_user_name,weight,source_dominant_stance,target_dominant_stance,same_dominant_stance
bilibili:17385291,落单的小歪,bilibili:12332519,珠希酱-一分流水,1,unclear_meme,support_xibei,false
bilibili:178110973,猪人公,bilibili:76754981,与你共鸣也共进退,1,unclear_meme,unclear_meme,true
bilibili:17840527,啊仙半,bilibili:494471075,-该用户账号注销-,1,question_xibei,question_xibei,true
bilibili:18607741,不恭顽石,bilibili:3493289095334193,Sjasth,1,question_xibei,unclear_meme,false
bilibili:1942165696,仰望星空群星灿烂,bilibili:666839416,看视频的工程师,1,unclear_meme,unclear_meme,true
bilibili:200603375,时光长存-,bilibili:535114229,古今一天,1,neutral_discussion,unclear_meme,false
bilibili:20269350,帅渣子,bilibili:552001224,ewks魔弹射手wisusna,1,question_xibei,unclear_meme,false
bilibili:206119465,Philde,bilibili:340472248,尤其圆,1,question_xibei,neutral_discussion,false
bilibili:2120688424,61分会员,bilibili:395906405,增智慧5a190基本,1,unclear_meme,unclear_meme,true
bilibili:21252756,世界树73,bilibili:4121086,黑_李子,1,unclear_meme,question_xibei,false
bilibili:2138207,C-Farer,bilibili:15350722,MISSC0622,1,unclear_meme,question_xibei,false
bilibili:2141620854,饭菜不能太油,bilibili:279661,JIUQIANSHUODAO,1,question_xibei,question_xibei,true
bilibili:21462158,咕呖咕呖新年财,bilibili:68389788,休伯利安号战列巡航舰,1,question_xibei,question_xibei,true
bilibili:22595493,西瓜就要蘸雪吃,bilibili:11646949,柘月听桑落,1,question_xibei,question_xibei,true
bilibili:227634994,Pengpeng芃丶,bilibili:331234234,熊猫毛很乱,1,unclear_meme,unclear_meme,true
bilibili:228347038,索马里难民x,bilibili:419175194,杉木橦,1,unclear_meme,unclear_meme,true
bilibili:23322636,回不到的岁月,bilibili:415723930,嘉然一世,1,neutral_discussion,question_xibei,false
bilibili:234574674,萌抽抽儿,bilibili:4192759,飘酱_,1,question_xibei,question_xibei,true
bilibili:234673,黑Archer,bilibili:3493088095897692,嗪嗪兽,1,unclear_meme,unclear_meme,true
bilibili:235949,博丽灵梦X,bilibili:7644696,吧啦吧啦kimoji,1,unclear_meme,question_xibei,false
bilibili:239030260,梦柯啊啊啊,bilibili:1467643346,橘柚橸,1,unclear_meme,unclear_meme,true
bilibili:239832158,夜微凉人生忆,bilibili:88525105,鹿的洗碗人,1,unclear_meme,question_xibei,false
bilibili:24243789,-时未遇兮无所将,bilibili:509046121,我在银河烤翅膀,1,question_xibei,question_xibei,true
bilibili:24685432,茜特拉莉丶,bilibili:346432948,agere23,1,unclear_meme,unclear_meme,true
bilibili:247674757,叫我洁宝,bilibili:31637138,hhgrdv,1,unclear_meme,question_xibei,false
bilibili:25732371,红颜_zzZ,bilibili:19412032,鸣谦s,1,question_xibei,question_xibei,true
bilibili:258391753,Chan_Song-Yi,bilibili:21921544,与娄葑门,1,unclear_meme,question_xibei,false
bilibili:259488873,zhwlkt,bilibili:355872103,火锅吃很辣,1,question_xibei,support_xibei,false
bilibili:260233008,404Worle,bilibili:37087045,皇后的头风,1,question_xibei,unclear_meme,false
bilibili:26356887,呦呦呦三,bilibili:209499579,尾张大傻瓜织田信长,1,unclear_meme,question_xibei,false
bilibili:274900639,不可思议可,bilibili:13247947,末然ン羽,1,unclear_meme,question_xibei,false
bilibili:28281238,速溶达芬奇,bilibili:516831106,渔人老不死,1,question_xibei,neutral_discussion,false
bilibili:28860133,红豆南国等你,bilibili:7644696,吧啦吧啦kimoji,1,unclear_meme,question_xibei,false
bilibili:295053044,wujiang6188,bilibili:24556340,鱼刺931,1,neutral_discussion,unclear_meme,false
bilibili:29823913,古谷コバルト,bilibili:68389788,休伯利安号战列巡航舰,1,unclear_meme,question_xibei,false
bilibili:2984705,夢夢gtz,bilibili:40853970,演员熊凤山,1,unclear_meme,unclear_meme,true
bilibili:299261802,飞翰_,bilibili:90581079,我的艾达老婆,1,unclear_meme,unclear_meme,true
bilibili:302530314,一株大香菇,bilibili:88525105,鹿的洗碗人,1,unclear_meme,question_xibei,false
bilibili:313093112,排雷用二哈,bilibili:13327156,cvfgji,1,question_xibei,question_xibei,true
bilibili:320132663,主打一手真实,bilibili:76754981,与你共鸣也共进退,1,question_xibei,unclear_meme,false
bilibili:32271766,加百列的香菜,bilibili:1216717318,b站b站真好玩啊,1,question_xibei,neutral_discussion,false
bilibili:32794463,一脚一个反思怪,bilibili:2800590,cheefay,1,unclear_meme,question_xibei,false
bilibili:3285654,Byuuu,bilibili:179911944,9mm空尖弹,1,unclear_meme,question_xibei,false
bilibili:34641757,40656763,bilibili:37087045,皇后的头风,1,question_xibei,unclear_meme,false
bilibili:347496592,断水流丶丶,bilibili:13247947,末然ン羽,1,support_xibei,question_xibei,false
bilibili:3493117837707388,叫我嘿嘿潇洒哥,bilibili:419175194,杉木橦,1,unclear_meme,unclear_meme,true
bilibili:351353693,帐号巳汪诮,bilibili:15350722,MISSC0622,1,question_xibei,question_xibei,true
bilibili:35220868,onewaystreet1988321,bilibili:4192759,飘酱_,1,unclear_meme,question_xibei,false
bilibili:3546633465760441,bili_23200358239,bilibili:321667815,代号x该隐1,1,unclear_meme,question_xibei,false
bilibili:3546783321950852,星动复活,bilibili:386825429,黄辉冯师傅,1,unclear_meme,question_xibei,false
bilibili:3546840282696223,拉神挚爱的曼波,bilibili:1111924044,站着不動装糕手,1,question_xibei,question_xibei,true
bilibili:3546891614685782,荒城濑津美,bilibili:240823190,晨沁心,1,neutral_discussion,unclear_meme,false
bilibili:3546910799432237,-蔡玉婷-,bilibili:2151196,尼奥特里斯里德,1,question_xibei,question_xibei,true
bilibili:3546927742323141,大人時代變了,bilibili:484701316,两难自解的智慧,1,question_xibei,question_xibei,true
bilibili:36029162,好赤鸡啊,bilibili:526116712,宁波一狼,1,question_xibei,question_xibei,true
bilibili:37087045,皇后的头风,bilibili:15904760,小能苗绝不投降,1,unclear_meme,question_xibei,false
bilibili:37087045,皇后的头风,bilibili:166576396,滑雪雪豹,1,unclear_meme,question_xibei,false
bilibili:37087045,皇后的头风,bilibili:21895343,穿趿拉板吃涮锅子,1,unclear_meme,support_luoyonghao,false
bilibili:37087045,皇后的头风,bilibili:24556340,鱼刺931,1,unclear_meme,unclear_meme,true
bilibili:37087045,皇后的头风,bilibili:279661,JIUQIANSHUODAO,1,unclear_meme,question_xibei,false
bilibili:37087045,皇后的头风,bilibili:30447204,Pika张点点,1,unclear_meme,unclear_meme,true
bilibili:37087045,皇后的头风,bilibili:321667815,代号x该隐1,1,unclear_meme,question_xibei,false
bilibili:37087045,皇后的头风,bilibili:3461562180307133,电动滑板TV,1,unclear_meme,question_xibei,false
bilibili:37087045,皇后的头风,bilibili:3493289095334193,Sjasth,1,unclear_meme,unclear_meme,true
bilibili:37087045,皇后的头风,bilibili:396015923,广东广西大件搬家物流,1,unclear_meme,neutral_discussion,false
bilibili:37087045,皇后的头风,bilibili:405069934,jonning的小号,1,unclear_meme,question_xibei,false
bilibili:37087045,皇后的头风,bilibili:650065334,梧桐山老师傅,1,unclear_meme,question_xibei,false
bilibili:37087045,皇后的头风,bilibili:8396203,怡红公子不懂爱,1,unclear_meme,unclear_meme,true
bilibili:37337767,阿拉丁神丁hhhhhh,bilibili:3242069,园外雪离人泪,1,question_xibei,question_xibei,true
bilibili:37759770,过期美少年侦探柯南,bilibili:4400315,霜之哀伤2014,1,unclear_meme,question_xibei,false
bilibili:37959862,HJ980315,bilibili:362166833,清风夏天鸣蝉,1,unclear_meme,unclear_meme,true
bilibili:37998866,小狗过来呀,bilibili:343876,karanoshoujo,1,question_xibei,question_xibei,true
bilibili:38223938,-赵完松-,bilibili:362166833,清风夏天鸣蝉,1,unclear_meme,unclear_meme,true
bilibili:384311859,己已巳巴2026,bilibili:43093590,不要叫我快播凡,1,unclear_meme,unclear_meme,true
bilibili:384483897,指间沙逝水,bilibili:304111943,未定之两,1,question_xibei,question_xibei,true
bilibili:38514168,Kalataer,bilibili:8396203,怡红公子不懂爱,1,question_xibei,unclear_meme,false
bilibili:385727019,为泰着魔,bilibili:1975211,IlIlIlIIllIIlIlI,1,question_xibei,question_xibei,true
bilibili:387014812,绿水依然i,bilibili:386825429,黄辉冯师傅,1,question_xibei,question_xibei,true
bilibili:38871056,牛爱花酱,bilibili:90581079,我的艾达老婆,1,unclear_meme,unclear_meme,true
bilibili:392790342,_吃瓜群眾,bilibili:346432948,agere23,1,unclear_meme,unclear_meme,true
bilibili:39787950,妖化的二哈,bilibili:415386941,一人天上飞,1,question_xibei,question_xibei,true
bilibili:401952075,U盾耐心,bilibili:83948907,月月好困呐,1,unclear_meme,unclear_meme,true
bilibili:404524214,RoyMakaay7,bilibili:508740440,蜗牛瑶妖,1,question_xibei,question_xibei,true
bilibili:413065599,剑来__-_-,bilibili:261892524,大明瓦学弟朱祁镇,1,unclear_meme,question_xibei,false
bilibili:414843421,六币改这玩意,bilibili:1042288531,干三干,1,unclear_meme,question_xibei,false
bilibili:415176537,freelystar2013,bilibili:14046072,Mikoyan21,1,unclear_meme,question_xibei,false
bilibili:4181070,屋昂玩,bilibili:21790653,啊南1988,1,unclear_meme,question_xibei,false
bilibili:4192127,JohnMarston123,bilibili:26391649,欢喵爱吃鱼,1,question_xibei,question_xibei,true
bilibili:4192759,飘酱_,bilibili:21895343,穿趿拉板吃涮锅子,1,question_xibei,support_luoyonghao,false
bilibili:43755500,越岳袅,bilibili:670897509,果果凹凸曼,1,question_xibei,unclear_meme,false
bilibili:438260254,FreeZingLee,bilibili:12332519,珠希酱-一分流水,1,unclear_meme,support_xibei,false
bilibili:442597630,anjingyy,bilibili:380357453,蓝天和流云舌稳,1,unclear_meme,unclear_meme,true
bilibili:448321946,bili_70493342365,bilibili:14811631,人生巛一问号,1,question_luoyonghao,unclear_meme,false
bilibili:449716778,月色慢递员,bilibili:1467643346,橘柚橸,1,unclear_meme,unclear_meme,true
bilibili:449740254,假装是少年rst,bilibili:14046072,Mikoyan21,1,unclear_meme,question_xibei,false
bilibili:45891858,氺菓菋,bilibili:6720185,左旋Cs,1,unclear_meme,question_xibei,false
bilibili:4637619,Savlous,bilibili:494471075,-该用户账号注销-,1,question_xibei,question_xibei,true
bilibili:4680167,勒芙安德皮斯,bilibili:8378946,WzZP,1,unclear_meme,question_xibei,false
bilibili:472329734,闫書郁,bilibili:91424944,kingmighty,1,question_xibei,question_xibei,true
bilibili:47265481,思无鸡蛋,bilibili:13327156,cvfgji,1,unclear_meme,question_xibei,false
bilibili:477799501,阿伟送葬人,bilibili:450664995,珠海的科学R,1,unclear_meme,question_xibei,false
bilibili:478794937,银河集市,bilibili:19412032,鸣谦s,1,question_xibei,question_xibei,true
bilibili:480129376,样子单飞,bilibili:357773251,特立独醒的猫先森,1,unclear_meme,unclear_meme,true
bilibili:487962541,smjshsgshsj,bilibili:240823190,晨沁心,1,neutral_discussion,unclear_meme,false
bilibili:488404711,人生不是电视剧,bilibili:2800590,cheefay,1,unclear_meme,question_xibei,false
bilibili:49156810,命神月,bilibili:8378946,WzZP,1,question_xibei,question_xibei,true
bilibili:500071351,tensorflow--,bilibili:494463119,我在辟谷,1,unclear_meme,unclear_meme,true
bilibili:504458421,holthenwu,bilibili:1975211,IlIlIlIIllIIlIlI,1,unclear_meme,question_xibei,false
bilibili:513524126,二愣子111,bilibili:16569302,弃庸乎,1,question_xibei,unclear_meme,false
bilibili:517930057,汪汪队司令员,bilibili:494463119,我在辟谷,1,question_xibei,unclear_meme,false
bilibili:5320941,周一二二二,bilibili:26391649,欢喵爱吃鱼,1,question_xibei,question_xibei,true
bilibili:562351816,Aemeathの猫,bilibili:233587785,_旧青年,1,unclear_meme,unclear_meme,true
bilibili:5872916,伊濑,bilibili:357773251,特立独醒的猫先森,1,question_xibei,unclear_meme,false
bilibili:596034,世奇君saki,bilibili:149045078,落车six,1,unclear_meme,unclear_meme,true
bilibili:61525780,理太fly,bilibili:6720185,左旋Cs,1,neutral_discussion,question_xibei,false
bilibili:63606708,拥有太晶飞的固拉多,bilibili:33709459,猪呆呆吃玉米,1,unclear_meme,unclear_meme,true
bilibili:66658030,天降流弹,bilibili:4121086,黑_李子,1,unclear_meme,question_xibei,false
bilibili:678443762,不要逮捕我了QAQ,bilibili:450664995,珠海的科学R,1,unclear_meme,question_xibei,false
bilibili:699425002,秋名楓,bilibili:38144534,梅志豪大大,1,unclear_meme,question_luoyonghao,false
bilibili:703205445,纷纷绕绕断风云,bilibili:166576396,滑雪雪豹,1,question_xibei,question_xibei,true
bilibili:84095883,琴心剑语灬,bilibili:408436013,Mr-__,1,unclear_meme,unclear_meme,true
bilibili:85634750,无物而真,bilibili:179911944,9mm空尖弹,1,question_xibei,question_xibei,true
bilibili:94212868,落沙如雪,bilibili:57167867,饭巴斯滕,1,question_xibei,question_xibei,true
bilibili:9882230,七言Fine,bilibili:173244991,大方向是对的长长名字,1,unclear_meme,unclear_meme,true
